OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,7/4/1996 12:00:00 AM,8/1/1996 12:00:00 AM,7/16/1996 12:00:00 AM,3,"$32,380.00",Vins et alcools Chevalier,"59 rue de l'Abbaye",Reims,,51100,France
10249,TOMSP,6,7/5/1996 12:00:00 AM,8/16/1996 12:00:00 AM,7/10/1996 12:00:00 AM,1,"$11,610.00",Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10250,HANAR,4,7/8/1996 12:00:00 AM,8/5/1996 12:00:00 AM,7/12/1996 12:00:00 AM,2,"$65,830.00",Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,7/8/1996 12:00:00 AM,8/5/1996 12:00:00 AM,7/15/1996 12:00:00 AM,1,"$41,340.00",Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10252,SUPRD,4,7/9/1996 12:00:00 AM,8/6/1996 12:00:00 AM,7/11/1996 12:00:00 AM,2,"$51,300.00",Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10253,HANAR,3,7/10/1996 12:00:00 AM,7/24/1996 12:00:00 AM,7/16/1996 12:00:00 AM,2,"$58,170.00",Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,7/11/1996 12:00:00 AM,8/8/1996 12:00:00 AM,7/23/1996 12:00:00 AM,2,"$22,980.00",Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10255,RICSU,9,7/12/1996 12:00:00 AM,8/9/1996 12:00:00 AM,7/15/1996 12:00:00 AM,3,"$148,330.00",Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10256,WELLI,3,7/15/1996 12:00:00 AM,8/12/1996 12:00:00 AM,7/17/1996 12:00:00 AM,2,"$13,970.00",Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,HILAA,4,7/16/1996 12:00:00 AM,8/13/1996 12:00:00 AM,7/22/1996 12:00:00 AM,3,"$81,910.00",HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
